-86,-89,-65
-90,-86,-65
-84,-85,-65
-85,-90,-65
-90,-85,-65
-85,-87,-66
-89,-89,-66
-88,-85,-78
-77,-82,-64
-78,-82,-71
-80,-75,-70
-79,-80,-74
-77,-78,-86
-82,-78,-83
-78,-77,-85
-60,-81,-73
-81,-82,-70
-79,-83,-70
-80,-83,-70
-80,-85,-70
-80,-83,-70
-80,-82,-69
-85,-84,-69
-84,-82,-66
-87,-82,-65
-86,-83,-72
-86,-85,-70
-87,-64,-50
-85,-88,-67
-87,-85,-70
-85,-86,-63
-85,-82,-69
-85,-85,-70
-86,-84,-70
-86,-80,-71
-82,-78,-77
-85,-78,-69
-89,-88,-73
-86,-89,-68
-86,-89,-69
-87,-88,-72
-87,-85,-78
-86,-86,-74
-83,-85,-71
-83,-85,-71
-83,-90,-72
-83,-85,-76
-84,-85,-71
-84,-84,-76
-84,-88,-74
-85,-86,-72
-84,-90,-75
-85,-86,-75
-87,-89,-75
-84,-85,-72
-86,-86,-75
-85,-87,-73
-87,-86,-76
-88,-87,-74
-84,-87,-74
-84,-87,-72
-88,-89,-72
-87,-89,-72
-88,-88,-71
-86,-90,-72
-86,-87,-74
-87,-90,-72
-84,-89,-74
-87,-89,-71
-87,-91,-72
-87,-86,-74
-88,-86,-71
-86,-90,-71
-86,-86,-72
-84,-86,-74
-87,-85,-71
-84,-86,-74
-87,-87,-74
-84,-86,-74
-86,-86,-74
-87,-87,-74
-85,-87,-71
-85,-86,-71
-85,-86,-71
-87,-89,-73
-86,-86,-74
-85,-87,-71
-86,-85,-74
-85,-86,-72
-84,-86,-71
-84,-87,-75
-86,-87,-72
-83,-85,-74
-83,-91,-72
-83,-87,-76
-87,-82,-64
-86,-85,-60
-85,-85,-61
-88,-87,-68
-86,-86,-77
-84,-85,-77
-84,-87,-73
-85,-86,-69
-85,-85,-72
-83,-85,-74
-84,-87,-72
-86,-88,-70
-84,-89,-74
-86,-87,-71
-83,-91,-70
-84,-87,-71
-84,-85,-73
-87,-86,-72
-86,-85,-73
-86,-85,-72
-85,-85,-71
-83,-87,-72
-86,-91,-72
-85,-86,-76
-85,-88,-73
