-86,-89,-65,-81,-87,-78,-77,-90,-86,-83,-91,-75,-77,-88,-87,-67,-87,-90,-84,-73,-84,-70,-85,-90,-73,-84,-90
-90,-86,-65,-80,-88,-76,-78,-92,-85,-82,-83,-78,-79,-91,-85,-72,-81,-79,-83,-74,-84,-70,-88,-84,-71,-82,-84
-84,-85,-65,-81,-86,-77,-77,-92,-83,-89,-86,-75,-78,-85,-83,-68,-90,-84,-84,-70,-84,-70,-87,-89,-66,-83,-76
-85,-90,-65,-79,-90,-78,-76,-89,-83,-84,-83,-70,-71,-86,-75,-67,-82,-89,-84,-70,-84,-71,-84,-79,-63,-86,-82
-90,-85,-65,-80,-89,-78,-77,-88,-84,-85,-85,-71,-73,-82,-83,-59,-83,-82,-85,-72,-85,-76,-88,-83,-64,-85,-80
-85,-87,-66,-80,-89,-75,-69,-91,-78,-84,-87,-77,-70,-76,-73,-69,-86,-84,-84,-71,-84,-76,-88,-85,-64,-86,-81
-89,-89,-66,-81,-89,-76,-71,-86,-79,-84,-87,-70,-74,-81,-75,-67,-83,-81,-84,-70,-85,-80,-85,-82,-63,-89,-83
-88,-85,-78,-80,-89,-75,-67,-85,-80,-84,-88,-71,-74,-85,-74,-65,-82,-77,-84,-72,-89,-79,-89,-92,-60,-86,-81
-77,-82,-64,-81,-90,-78,-69,-84,-85,-84,-90,-70,-74,-82,-80,-81,-81,-76,-84,-75,-83,-79,-85,-89,-60,-83,-84
-78,-82,-71,-80,-89,-77,-69,-86,-84,-82,-91,-75,-74,-85,-77,-80,-88,-75,-83,-74,-89,-77,-87,-85,-62,-83,-79
-80,-75,-70,-79,-90,-75,-69,-84,-84,-83,-86,-71,-75,-84,-80,-62,-83,-80,-83,-71,-91,-75,-86,-84,-60,-89,-82
-79,-80,-74,-79,-89,-79,-69,-86,-85,-82,-90,-75,-78,-76,-83,-68,-85,-78,-82,-71,-90,-76,-86,-88,-67,-87,-79
-77,-78,-86,-80,-89,-77,-68,-85,-80,-85,-94,-75,-71,-79,-89,-69,-84,-80,-83,-69,-84,-75,-83,-88,-73,-82,-78
-82,-78,-83,-81,-89,-76,-70,-82,-80,-83,-86,-80,-75,-77,-78,-66,-88,-73,-82,-70,-81,-76,-84,-79,-72,-83,-85
-78,-77,-85,-80,-90,-75,-73,-88,-77,-81,-87,-69,-82,-76,-70,-70,-90,-79,-83,-71,-82,-76,-84,-88,-69,-81,-85
-60,-81,-73,-80,-88,-74,-69,-83,-77,-85,-85,-69,-73,-78,-74,-72,-90,-79,-83,-72,-90,-76,-85,-86,-74,-87,-84
-81,-82,-70,-80,-90,-75,-72,-83,-72,-83,-86,-77,-71,-76,-75,-70,-90,-74,-82,-72,-89,-75,-84,-87,-66,-78,-77
-79,-83,-70,-79,-86,-75,-69,-84,-86,-85,-84,-69,-72,-76,-71,-71,-85,-79,-84,-72,-83,-75,-85,-85,-74,-81,-76
